direction,PE,PE,PE,PE,PE,PN,PN,PN,PN,PN,PD,PD,PD,PD,PD
log_diff,37,39,54,80,95,37,39,54,80,95,37,39,54,80,95
timestamp,,,,,,,,,,,,,,,
0 days 00:00:00,-1.7720807790756226,1.1890757083892822,-0.9453117847442628,-0.1936351507902145,0.0,7.947856903076172,0.0140512445941567,-0.3491898477077484,0.0125755639746785,0.0,1.664169430732727,-0.3188318610191345,-1.9778146743774412,0.3526102900505066,0.0
0 days 00:00:00.040005,-1.7717020511627197,1.1898311376571655,-0.9456135829289756,-0.1936847205672945,0.0,7.948439121246338,0.0141273513436317,-0.34931258360544837,0.013568754174879601,0.0,1.6644530892372131,-0.3209079802036285,-1.9781104723612466,0.3530927130154201,0.0
0 days 00:00:00.040010,-1.771323323249817,1.1902020374933877,-0.9459153811136882,-0.19373429034437448,0.0,7.949021339416504,0.014037138161559866,-0.3494353195031484,0.014561944375080701,0.0,1.6647367477416992,-0.3216827015082041,-1.9784062703450518,0.3535751359803336,0.0
0 days 00:00:00.080005,-1.7705402374267578,1.1905729373296101,-0.946217179298401,-0.19378386012145446,0.0,7.950103282928467,0.013946924979488034,-0.3495580554008484,0.0155551345752818,0.0,1.6652177572250366,-0.32245742281277967,-1.9787020683288572,0.3540575589452471,0.0
0 days 00:00:00.080033,-1.7704733610153198,1.1909438371658323,-0.9465189774831138,-0.19383342989853444,0.0,7.950205326080322,0.0138567117974162,-0.34968079129854834,0.0165483247754829,0.0,1.665289004643758,-0.3232321441173553,-1.9789978663126626,0.3545399819101606,0.0
0 days 00:00:00.099952,-1.7704064846038818,1.191126465797424,-0.9468207756678264,-0.19388299967561443,0.0,7.950307369232178,0.013748899567872275,-0.3498035271962483,0.017541514975684,0.0,1.6653602520624795,-0.32352989166975016,-1.9792936642964678,0.35502240487507414,0.0
0 days 00:00:00.099967,-1.7703396081924438,1.1913090944290161,-0.9471225738525392,-0.1939325694526944,0.0,7.950409412384033,0.013641087338328351,-0.3499262630939483,0.0185347051758851,0.0,1.6654314994812012,-0.3238276392221451,-1.9795894622802732,0.3555048278399876,0.0
0 days 00:00:00.099995,-1.770272731781006,1.191491723060608,-0.947340640154752,-0.1939821392297744,0.0,7.950511455535889,0.013533275108784425,-0.3500237979672171,0.0195278953760862,0.0,1.6655027468999226,-0.32412538677453995,-1.9795787767930462,0.3559872508049011,0.0
0 days 00:00:00.099998,-1.770205855369568,1.1916743516921997,-0.9475587064569648,-0.19393568379538392,0.0,7.950613498687744,0.0134254628792405,-0.35012133284048597,0.020359455740877528,0.0,1.665573994318644,-0.3244231343269348,-1.9795680913058193,0.35655305215290617,0.0
0 days 00:00:00.100017,-1.77013897895813,1.1919044653574626,-0.9477767727591776,-0.19388922836099345,0.0,7.9507155418396,0.0133001301437616,-0.35021886771375477,0.02119101610566886,0.0,1.6656452417373655,-0.32481547196706134,-1.9795574058185923,0.35711885350091116,0.0
0 days 00:00:00.120017,-1.769731044769287,1.1921345790227256,-0.9479948390613904,-0.19384277292660299,0.0,7.951094150543213,0.013174797408282701,-0.3503164025870236,0.022022576470460187,0.0,1.66555655002594,-0.32520780960718787,-1.9795467203313653,0.3576846548489162,0.0
0 days 00:00:00.120033,-1.7695780197779338,1.1923646926879885,-0.9482129053636031,-0.19379631749221252,0.0,7.9515072504679365,0.0130494646728038,-0.3504139374602924,0.022854136835251514,0.0,1.6656385660171509,-0.3256001472473144,-1.9795360348441382,0.3582504561969212,0.0
0 days 00:00:00.160002,-1.7694249947865803,1.1935193538665771,-0.948430971665816,-0.19374986205782205,0.0,7.951920350392659,0.0128788026049733,-0.3505114723335613,0.023685697200042842,0.0,1.6657205820083618,-0.3280827701091766,-1.9795253493569114,0.35881625754492624,0.0
0 days 00:00:00.160054,-1.769271969795227,1.1938883860905964,-0.9486490379680288,-0.19370340662343158,0.0,7.952333450317383,0.012851356839140234,-0.3506090072068301,0.024517257564834173,0.0,1.6658025979995728,-0.3288630942503611,-1.9795146638696843,0.35938205889293123,0.0
0 days 00:00:00.199991,-1.7691293557484944,1.194257418314616,-0.9488671042702416,-0.1936569511890411,0.0,7.952800114949544,0.012823911073307166,-0.35070654208009894,0.0253488179296255,0.0,1.6659308274586995,-0.3296434183915456,-1.9795039783824573,0.3599478602409363,0.0
0 days 00:00:00.199996,-1.768986741701762,1.1946264505386353,-0.9490851705724543,-0.1937419772148132,0.0,7.953266779581706,0.0127964653074741,-0.35080407695336774,0.02591333522771794,0.0,1.6660590569178264,-0.3304237425327301,-1.9794932928952302,0.3601387143135071,0.0
0 days 00:00:00.200021,-1.7688441276550293,1.194884717464447,-0.9493032368746672,-0.1938270032405853,0.0,7.953733444213867,0.0128202540799975,-0.3509016118266366,0.026477852525810384,0.0,1.6661872863769531,-0.3308933898806572,-1.9794826074080034,0.3603295683860779,0.0
0 days 00:00:00.200022,-1.7686973810195923,1.1951429843902588,-0.94952130317688,-0.19391202926635737,0.0,7.953996896743774,0.012844042852520901,-0.3509991466999054,0.027042369823902825,0.0,1.6661708056926727,-0.3313630372285843,-1.9794719219207764,0.3605204224586487,0.0
0 days 00:00:00.200040,-1.7685506343841553,1.1954012513160706,-0.9498679723058429,-0.19399705529212946,0.0,7.954260349273682,0.0128678316250443,-0.35119921820504324,0.027606887121995268,0.0,1.6661543250083923,-0.3318326845765114,-1.9794655697686332,0.3607112765312195,0.0
0 days 00:00:00.240027,-1.7684038877487183,1.1956595182418823,-0.9502146414348058,-0.19408208131790156,0.0,7.954523801803589,0.0128916203975677,-0.3513992897101811,0.028171404420087708,0.0,1.666137844324112,-0.3323023319244385,-1.97945921761649,0.3609021306037903,0.0
0 days 00:00:00.240037,-1.7682571411132812,1.1959544022878013,-0.9505613105637687,-0.19416710734367365,0.0,7.954787254333496,0.012988078097502334,-0.35159936121531893,0.028735921718180152,0.0,1.6661213636398315,-0.3326461911201477,-1.9794528654643468,0.3610929846763611,0.0
0 days 00:00:00.280016,-1.7676342725753784,1.19624928633372,-0.9509079796927317,-0.19425213336944575,0.0,7.955768585205078,0.013084535797436967,-0.3517994327204568,0.029300439016272592,0.0,1.666032075881958,-0.3329900503158569,-1.9794465133122034,0.3612838387489319,0.0
0 days 00:00:00.280043,-1.7675852179527283,1.196544170379639,-0.9512546488216945,-0.19433715939521784,0.0,7.955860535303752,0.0131809934973716,-0.3519995042255946,0.029864956314365032,0.0,1.6660433610280354,-0.3333339095115661,-1.9794401611600603,0.3614746928215027,0.0
0 days 00:00:00.300000,-1.7675361633300781,1.196993350982666,-0.9516013179506575,-0.19442218542098993,0.0,7.955952485402425,0.0132554154843091,-0.35219957573073246,0.030429473612457476,0.0,1.666054646174113,-0.3336864709854126,-1.979433809007917,0.3616655468940735,0.0
0 days 00:00:00.300002,-1.767487108707428,1.1970773696899415,-0.9519479870796204,-0.194507211446762,0.0,7.956044435501099,0.01327431611716738,-0.3523996472358703,0.030993990910549916,0.0,1.6660659313201904,-0.3337676525115967,-1.979427456855774,0.3618564009666443,0.0
0 days 00:00:00.300034,-1.7674380540847778,1.1971613883972168,-0.9522233963012695,-0.1945922374725341,0.0,7.956136385599772,0.01329321675002566,-0.3525819063186645,0.03155850820864236,0.0,1.6660772164662678,-0.33384883403778076,-1.979512584209442,0.3620472550392151,0.0
0 days 00:00:00.300051,-1.7673889994621277,1.1972454071044922,-0.9524988055229187,-0.1946772634983062,0.0,7.956228335698445,0.01331211738288394,-0.35276416540145866,0.0321230255067348,0.0,1.6660885016123455,-0.33393001556396484,-1.9795977115631103,0.3622381091117859,0.0
0 days 00:00:00.300059,-1.7673399448394775,1.1973294258117675,-0.9527742147445678,-0.19469190306133685,0.0,7.956320285797119,0.01333101801574222,-0.3529464244842529,0.032753696872128334,0.0,1.6660997867584229,-0.3340111970901489,-1.9796828389167787,0.36262760559717816,0.0
0 days 00:00:00.320018,-1.767234981060028,1.197413444519043,-0.953049623966217,-0.1947065426243675,0.0,7.956501007080078,0.0133499186486005,-0.3531286835670471,0.03338436823752187,0.0,1.6662139296531677,-0.334092378616333,-1.9797679662704468,0.3630171020825704,0.0
0 days 00:00:00.320027,-1.7671300172805786,1.1977894306182861,-0.9533250331878662,-0.1947211821873982,0.0,7.956681728363037,0.013572428841143801,-0.35331094264984125,0.0340150396029154,0.0,1.6663280725479126,-0.33483895659446716,-1.979853093624115,0.36340659856796265,0.0
0 days 00:00:00.360022,-1.7670097351074219,1.1981654167175293,-0.9536004424095154,-0.19473582175042886,0.0,7.957100868225098,0.0137949390336871,-0.35349320173263543,0.034645710968308936,0.0,1.666896641254425,-0.3355855345726013,-1.9799382209777832,0.36379609505335486,0.0
0 days 00:00:00.360053,-1.7668894529342651,1.198402762413025,-0.9538758516311645,-0.19475046131345952,0.0,7.957520008087158,0.0139684164896607,-0.3536754608154296,0.03527638233370246,0.0,1.6674652099609375,-0.33614059289296466,-1.9800233483314513,0.36418559153874713,0.0
0 days 00:00:00.399978,-1.7668604373931884,1.1986401081085203,-0.9541512608528137,-0.19476510087649018,0.0,7.9576984405517575,0.014141893945634301,-0.35385771989822384,0.035907053699096,0.0,1.6677758693695068,-0.33669565121332806,-1.9801084756851197,0.36457508802413935,0.0
0 days 00:00:00.399995,-1.7668314218521117,1.198877453804016,-0.9544266700744628,-0.19477974043952087,0.0,7.957876873016358,0.0143153714016079,-0.354039978981018,0.03653772506448953,0.0,1.6680865287780762,-0.3372507095336914,-1.9801936030387879,0.3649645845095316,0.0
0 days 00:00:00.400022,-1.7668024063110352,1.1990396976470945,-0.954702079296112,-0.19479438000255153,0.0,7.958055305480957,0.014459016267210176,-0.3542222380638122,0.037168396429883066,0.0,1.6683971881866455,-0.3376859873533249,-1.980278730392456,0.36535408099492384,0.0
0 days 00:00:00.400023,-1.7667733907699585,1.1992019414901733,-0.9550367891788482,-0.1948090195655822,0.0,7.958233737945557,0.01460266113281245,-0.3544801659882068,0.0377990677952766,0.0,1.6687078475952148,-0.3381212651729584,-1.9804229438304901,0.3657435774803161,0.0
0 days 00:00:00.400045,-1.7667443752288818,1.199364185333252,-0.9553714990615844,-0.19484546780586234,0.0,7.958412170410156,0.014746305998414724,-0.3547380939126014,0.03846571296453472,0.0,1.6690185070037842,-0.3385565429925918,-1.9805671572685242,0.3663709044456481,0.0
0 days 00:00:00.439997,-1.7665598392486572,1.1995264291763306,-0.9557062089443206,-0.19488191604614252,0.0,7.958745241165161,0.014889950864017,-0.354996021836996,0.03913235813379284,0.0,1.669394850730896,-0.3389918208122253,-1.9807113707065582,0.3669982314109802,0.0
0 days 00:00:00.440024,-1.7663753032684326,1.1997311115264893,-0.9560409188270568,-0.19491836428642267,0.0,7.959078311920166,0.014945765336354565,-0.3552539497613907,0.03979900330305096,0.0,1.6697711944580078,-0.33933962384859717,-1.9808555841445923,0.3676255583763122,0.0
0 days 00:00:00.480013,-1.7659480571746826,1.199935793876648,-0.956375628709793,-0.19495481252670283,0.0,7.959689617156982,0.015001579808692133,-0.3555118776857853,0.04046564847230908,0.0,1.6704007387161257,-0.339687426884969,-1.9809997975826261,0.36825288534164424,0.0
0 days 00:00:00.480030,-1.7659156560897826,1.2001404762268066,-0.9567103385925292,-0.19499126076698298,0.0,7.959755992889404,0.0150573942810297,-0.3557698056101799,0.0411322936415672,0.0,1.6705002546310426,-0.3400352299213409,-1.9811440110206602,0.3688802123069763,0.0
0 days 00:00:00.499957,-1.7658832550048829,1.2002344926198323,-0.9570450484752654,-0.19502770900726316,0.0,7.959822368621826,0.015052574686706033,-0.3560277335345745,0.04179893881082532,0.0,1.6705997705459597,-0.34014938275019324,-1.9812882244586942,0.36950753927230834,0.0
0 days 00:00:00.499961,-1.7658508539199829,1.2003285090128581,-0.9573797583580016,-0.1950641572475433,0.0,7.959888744354248,0.015047755092382367,-0.3562856614589691,0.04246558398008344,0.0,1.6706992864608765,-0.34026353557904554,-1.9814324378967283,0.37013486623764036,0.0
0 days 00:00:00.500001,-1.765818452835083,1.2004225254058838,-0.9576838091015815,-0.19510060548782346,0.0,7.95995512008667,0.0150429354980587,-0.3564194031059742,0.04313222914934156,0.0,1.6707988023757936,-0.3403776884078979,-1.9814048558473585,0.3707621932029724,0.0
0 days 00:00:00.500052,-1.765786051750183,1.2004887759685516,-0.9579878598451613,-0.19513705372810364,0.0,7.960021495819092,0.01504616788588455,-0.3565531447529793,0.043798874318599676,0.0,1.6708983182907104,-0.34048318862915034,-1.9813772737979887,0.37138952016830445,0.0
0 days 00:00:00.500080,-1.7656786441802979,1.2005550265312195,-0.9582919105887412,-0.1951735019683838,0.0,7.9602370262146,0.015049400273710399,-0.35668688639998436,0.0444655194878578,0.0,1.6709585189819336,-0.34058868885040283,-1.9813496917486189,0.3720168471336365,0.0
0 days 00:00:00.520011,-1.7655712366104126,1.2006212770938873,-0.9585959613323212,-0.19513237310780418,0.0,7.960452556610107,0.01505263266153625,-0.35682062804698944,0.04505975544452665,0.0,1.6710187196731567,-0.3406941890716553,-1.9813221096992493,0.3726770546701219,0.0
0 days 00:00:00.520021,-1.765495777130127,1.2006875276565552,-0.958900012075901,-0.1950912442472246,0.0,7.960816860198975,0.0150558650493621,-0.35695436969399447,0.04565399140119551,0.0,1.6713463465372722,-0.3407996892929077,-1.9812945276498795,0.3733372622066074,0.0
0 days 00:00:00.560025,-1.7654203176498413,1.2011733055114746,-0.9592040628194809,-0.195050115386645,0.0,7.961181163787842,0.0153572624549269,-0.35708811134099955,0.046248227357864366,0.0,1.6716739734013875,-0.3421052694320678,-1.9812669456005096,0.37399746974309284,0.0
0 days 00:00:00.560043,-1.7653448581695557,1.2012872397899628,-0.9595081135630608,-0.19500898652606538,0.0,7.961545467376709,0.015448992373421726,-0.35722185298800463,0.04684246331453322,0.0,1.672001600265503,-0.3424583822488784,-1.9812393635511398,0.3746576772795783,0.0
0 days 00:00:00.599935,-1.7653146386146545,1.201401174068451,-0.9598121643066406,-0.1949678576654858,0.0,7.9618507623672485,0.01554072229191655,-0.3573555946350097,0.04743669927120208,0.0,1.672372192144394,-0.3428114950656891,-1.98121178150177,0.37531788481606376,0.0
0 days 00:00:00.599961,-1.7652844190597534,1.201515108346939,-0.9600540598233541,-0.1949267288049062,0.0,7.962156057357788,0.015632452210411377,-0.35745194223191995,0.048030935227870934,0.0,1.672742784023285,-0.3431646078824997,-1.9811753167046442,0.37597809235254925,0.0
0 days 00:00:00.600001,-1.7652541995048523,1.2016290426254272,-0.9602959553400675,-0.19488559994432658,0.0,7.962461352348328,0.0157241821289062,-0.35754828982883025,0.04862517118453979,0.0,1.673113375902176,-0.3435177206993103,-1.9811388519075182,0.3766382998890347,0.0
0 days 00:00:00.600019,-1.7652239799499512,1.2017693519592285,-0.960537850856781,-0.194844471083747,0.0,7.962766647338867,0.015861436103781,-0.3576446374257405,0.04921940714120865,0.0,1.673483967781067,-0.3440205156803131,-1.9811023871103923,0.3772985074255202,0.0
0 days 00:00:00.600085,-1.7651043335596721,1.2019096612930298,-0.9607797463734945,-0.1948033422231674,0.0,7.963067531585693,0.0159986900786558,-0.3577409850226508,0.0498136430978775,0.0,1.673745592435201,-0.3445233106613159,-1.9810659223132663,0.3779587149620056,0.0
0 days 00:00:00.640010,-1.7649846871693928,1.202049970626831,-0.9610216418902079,-0.19479569792747495,0.0,7.9633684158325195,0.0161359440535306,-0.357837332619561,0.050625006535223546,0.0,1.6740072170893352,-0.3450261056423187,-1.9810294575161405,0.37863766295569284,0.0
0 days 00:00:00.640056,-1.7648650407791138,1.202400843302409,-0.9612635374069214,-0.1947880536317825,0.0,7.963669300079346,0.016068731124202332,-0.3579336802164713,0.05143636997256959,0.0,1.6742688417434692,-0.3457092046737671,-1.9809929927190144,0.37931661094938,0.0
0 days 00:00:00.679983,-1.7644624710083008,1.2027517159779866,-0.9615054329236349,-0.19478040933609006,0.0,7.964508056640625,0.016001518194874068,-0.35803002781338156,0.052247733409915634,0.0,1.675045132637024,-0.34639230370521545,-1.9809565279218886,0.37999555894306725,0.0
0 days 00:00:00.679994,-1.7644291877746583,1.2031025886535645,-0.9617473284403483,-0.19477276504039764,0.0,7.964602947235107,0.0159343052655458,-0.35812637541029185,0.05305909684726167,0.0,1.6751556158065797,-0.3470754027366638,-1.9809200631247625,0.3806745069367545,0.0
0 days 00:00:00.699931,-1.7643959045410156,1.2032188177108765,-0.9619892239570618,-0.1947651207447052,0.0,7.96469783782959,0.01588491201400752,-0.3582227230072021,0.053870460284607714,0.0,1.6752660989761352,-0.3472669184207916,-1.9808835983276367,0.3813534549304417,0.0
0 days 00:00:00.699956,-1.764362621307373,1.2033350467681885,-0.9622271524535285,-0.19475747644901276,0.0,7.964792728424072,0.01583551876246924,-0.3581789632638295,0.05468182372195376,0.0,1.675376582145691,-0.3474584341049194,-1.9806405968136258,0.3820324029241289,0.0
0 days 00:00:00.700039,-1.7643293380737304,1.2034512758255003,-0.9624650809499953,-0.1947498321533203,0.0,7.964887619018555,0.01578612551093096,-0.3581352035204569,0.0554931871592998,0.0,1.6754870653152465,-0.34764994978904723,-1.980397595299615,0.3827113509178161,0.0
0 days 00:00:00.700042,-1.764296054840088,1.2035675048828123,-0.962703009446462,-0.19467749363846248,0.0,7.964982509613037,0.01573673225939268,-0.3580914437770843,0.055995425002442416,0.0,1.6755975484848022,-0.347841465473175,-1.9801545937856038,0.3832125067710876,0.0
0 days 00:00:00.700052,-1.7642329931259155,1.2036837339401243,-0.9629409379429288,-0.19460515512360466,0.0,7.9652111530303955,0.0156873390078544,-0.3580476840337117,0.05649766284558502,0.0,1.6757043600082397,-0.3480329811573028,-1.9799115922715929,0.3837136626243591,0.0
