,37-39,37-39,37-39,37-53,37-53,37-53,39-53,39-53,39-53
direction,PD,PE,PN,PD,PE,PN,PD,PE,PN
timestamp,,,,,,,,,
0 days 00:00:00,-1.9830012917518616,2.961156487464905,-7.933805658482015,-0.5861639976501465,1.491143673658371,-7.717034891247749,1.396837294101715,-1.4700128138065338,0.2167707672342658
0 days 00:00:00.040005,-1.9853610694408417,2.9615331888198853,-7.934311769902706,-0.5863718390464783,1.4910913535526822,-7.717759300555501,1.3989892303943634,-1.470441835267203,0.21655246934720448
0 days 00:00:00.040010,-1.9864194492499032,2.9615253607432046,-7.934984201254944,-0.5865796804428101,1.4910390334469932,-7.718483709863254,1.3998397688070932,-1.4704863272962114,0.21650049139169
0 days 00:00:00.080005,-1.9876751800378163,2.9611131747563677,-7.9361563579489784,-0.5869848728179932,1.490582355431148,-7.719707844512803,1.4006903072198231,-1.4705308193252198,0.2164485134361755
0 days 00:00:00.080033,-1.9885923961798349,2.9613503217697144,-7.9364506574347615,-0.5870515505472818,1.490775010415486,-7.7200541219541,1.401540845632553,-1.4705753113542281,0.21639653548066104
0 days 00:00:00.099998,-1.9899258812268574,2.9619470834732056,-7.937085992656648,-0.5871182282765706,1.490967665399824,-7.720400399395397,1.4028076529502869,-1.4709794180733817,0.21668559326125042
0 days 00:00:00.100017,-1.9903626292943952,2.9619859158992767,-7.937384078511968,-0.5871849060058592,1.4911603203841621,-7.720746676836695,1.403177723288536,-1.4708255955151148,0.2166374016752733
0 days 00:00:00.100048,-1.9906125366687775,2.9619545340538025,-7.937667382415384,-0.5870647430419922,1.4912827610969543,-7.721078172326088,1.4035477936267853,-1.4706717729568481,0.21658921008929616
0 days 00:00:00.120017,-1.9908624440431595,2.9619231522083282,-7.9379506863188,-0.5867018699645996,1.491336260523115,-7.721521886331694,1.4041605740785599,-1.4705868916852136,0.21642879998710543
0 days 00:00:00.120033,-1.9912387132644653,2.9619427124659223,-7.938457785795133,-0.5864653587341309,1.4914407020523437,-7.722189395910218,1.4047733545303345,-1.4705020104135786,0.21626838988491473
0 days 00:00:00.160002,-1.9938033521175385,2.9629443486531573,-7.939041547787686,-0.5862288475036621,1.491545143581572,-7.72285690548874,1.4075745046138763,-1.4713992050715854,0.21618464229894535
0 days 00:00:00.160054,-1.9950558543205261,2.9633448719978333,-7.939495816361159,-0.5859923362731934,1.4916495851108007,-7.723524415067264,1.4090635180473328,-1.4716952868870325,0.21597140129389505
0 days 00:00:00.199996,-1.996418684720993,2.9636844992637634,-7.940236981958151,-0.5858661532402039,1.4916931305612837,-7.724478821669306,1.4105525314807892,-1.4719913687024797,0.21575816028884476
0 days 00:00:00.200021,-1.997237225373586,2.9638149340947466,-7.940905260543029,-0.5857399702072144,1.4917366760117667,-7.725433228271348,1.4114972551663716,-1.47207825808298,0.21547203227168035
0 days 00:00:00.200022,-1.9978414475917816,2.9639636278152466,-7.94122481221954,-0.5853994687398274,1.4917984803517659,-7.726038907965024,1.4124419788519542,-1.4721651474634807,0.21518590425451592
0 days 00:00:00.240027,-1.9984456698099773,2.9641123215357466,-7.941544363896052,-0.5847320954004924,1.4919613202412925,-7.726714938879013,1.4137135744094849,-1.4721510012944539,0.21482942501703897
0 days 00:00:00.240037,-1.9987675547599792,2.9642115434010825,-7.941799176235993,-0.5840647220611572,1.4921241601308188,-7.727390969793002,1.414702832698822,-1.4720873832702637,0.2144082064429919
0 days 00:00:00.280016,-1.999022126197815,2.9638835589090986,-7.942684049407641,-0.5833300352096558,1.491859793663025,-7.728697061538696,1.4156920909881592,-1.4720237652460735,0.21398698786894482
0 days 00:00:00.280043,-1.9993829131126404,2.964104861021042,-7.942725516855717,-0.582701563835144,1.4921447137991588,-7.729159747560819,1.4166813492774963,-1.4719601472218833,0.21356576929489776
0 days 00:00:00.300000,-1.999752402305603,2.964480459690094,-7.942789020016789,-0.5820730924606323,1.4924296339352927,-7.729622433582942,1.4176793098449707,-1.4720508257548013,0.21316658643384784
0 days 00:00:00.300014,-1.9999046325683594,2.964546908934911,-7.942895444110036,-0.5814446210861206,1.4927145540714264,-7.730085119605064,1.4184600114822388,-1.4718323548634846,0.2128103245049716
0 days 00:00:00.300059,-2.0000568628311157,2.9646133581797285,-7.943001868203282,-0.580749789873759,1.492936025063197,-7.730598715444406,1.4193070729573567,-1.4716773331165314,0.21240315275887656
0 days 00:00:00.320018,-2.0003063082695007,2.964648425579071,-7.9431510884314775,-0.5801521738370259,1.4931261142094931,-7.731155107418696,1.4201541344324748,-1.471522311369578,0.21199598101278153
0 days 00:00:00.320027,-2.0011670291423798,2.9649194478988647,-7.943109299521893,-0.579554557800293,1.4933162033557892,-7.731711499392986,1.4216124713420868,-1.4716032445430756,0.21139780012890702
0 days 00:00:00.360022,-2.0024821758270264,2.965175151824951,-7.9433059291914105,-0.5794113675753276,1.4934909741083782,-7.732506309946378,1.4230708082516987,-1.471684177716573,0.2107996192450325
0 days 00:00:00.360053,-2.0036058028539023,2.96529221534729,-7.9435515915974975,-0.5792681773503621,1.4936657448609671,-7.73330112049977,1.42433762550354,-1.471626470486323,0.21025047109772763
0 days 00:00:00.399953,-2.0046786268552146,2.9654812018076577,-7.943675501582523,-0.5790741840998332,1.493912438551585,-7.7339741786321,1.4256044427553813,-1.4715687632560728,0.2097013229504228
0 days 00:00:00.399995,-2.0057514508565264,2.9656701882680254,-7.943799411567549,-0.5788841871988204,1.4941683865728832,-7.734526069391341,1.4268672636577062,-1.4715018016951422,0.20927334217620752
